timestamp,extranonce,patoshi
1241234356,1809,1
1241235714,1825,1
1241236313,55,0
1241237224,1826,1
1241238158,57,0
1241238344,52,0
1241238576,229,0
1241238697,1837,1
1241238720,152,0
1241239222,1838,1
1241239740,944,0
1241240541,7544,0
1241240532,1855,1
1241241090,1871,1
1241242141,68,0
1241242597,1876,1
1241243177,1878,1
1241243667,560,0
1241243896,1887,1
1241244573,1889,1
1241245088,563,0
1241245719,1893,1
1241246075,1895,1
1241246828,71,0
1241247436,1900,1
1241247919,1907,1
1241248896,1909,1
1241249880,1912,1
1241251100,1923,1
1241252608,1930,1
1241253494,1933,1
1241254489,255,0
1241254796,1938,1
1241255075,87,0
1241255233,261,0
1241255398,1940,1
1241255687,181,0
1241256479,1942,1
1241257584,1952,1
1241258267,1956,1
1241259218,1961,1
1241260158,1966,1
1241261073,1968,1
1241261878,267,0
1241261959,1969,1
1241263419,1978,1
1241264480,1980,1
1241265283,1984,1
1241266246,2006,1
1241266933,2007,1
1241268281,2011,1
1241269199,2015,1
1241269762,2019,1
1241270235,2020,1
1241271737,2033,1
1241272832,279,0
1241273023,2042,1
1241273912,600,0
1241274276,2045,1
1241275100,2049,1
1241275684,2053,1
1241276951,2056,1
1241277700,289,0
1241278077,2057,1
1241279688,2074,1
1241280723,2076,1
1241281677,2085,1
1241282908,2095,1
1241283396,122,0
1241283566,123,0
1241283874,2115,1
1241285265,2116,1
1241286370,2117,1
1241287184,2128,1
1241287218,8,0
1241288141,2134,1
1241288579,2142,1
1241289065,2144,1
1241289689,2146,1
1241290909,2152,1
1241291553,2154,1
1241291586,309,0
1241291916,2159,1
1241292307,7617,0
1241292401,2162,1
1241293920,2166,1
1241294141,141,0
1241294994,2172,1
1241296358,313,0
1241296467,2173,1
1241296796,634,0
1241297665,2189,1
1241298482,320,0
1241298730,10,0
1241299143,2196,1
1241300128,2201,1
1241300692,2205,1
1241301696,2207,1
1241302835,2215,1
1241304217,2216,1
1241304770,2218,1
1241304808,156,0
1241305261,2229,1
1241306214,2238,1
1241307284,2243,1
1241307403,142,0
1241307765,2244,1
1241309138,335,0
1241309192,2250,1
1241310342,164,0
1241319154,2251,1
1241320305,2257,1
1241321238,2268,1
1241321815,2284,1
1241323201,2292,1
1241324636,2310,1
1241326162,2315,1
1241326415,154,0
1241327132,2317,1
1241327541,2326,1
1241328973,2331,1
1241329006,346,0
1241329844,2332,1
1241330328,2335,1
1241330783,2338,1
1241331344,2345,1
1241332442,2362,1
1241332964,2368,1
1241333307,2370,1
1241334011,2371,1
1241334442,17,0
1241334612,168,0
1241334947,19,0
1241335292,2373,1
1241335809,2376,1
1241336273,2377,1
1241337348,2379,1
1241338415,2387,1
1241339140,2395,1
1241339544,2396,1
1241340094,2397,1
1241340684,2402,1
1241341685,2404,1
1241341979,78,0
1241342188,2415,1
1241342461,370,0
1241342969,2434,1
1241343528,2440,1
1241344496,2441,1
1241345744,2449,1
1241346789,2450,1
1241346835,86,0
1241348097,2456,1
1241348518,2459,1
1241349636,2465,1
1241351159,2472,1
1241352231,381,0
1241352502,2477,1
1241352909,702,0
1241353302,47,0
1241353659,2479,1
1241354375,49,0
1241354970,2480,1
1241356069,707,0
1241357707,708,0
1241358758,188,0
1241359655,2519,1
1241360855,2520,1
1241362165,2523,1
1241363569,2528,1
1241364379,2534,1
1241364576,194,0
1241364963,2538,1
1241365450,108,0
1241366352,109,0
1241366518,719,0
1241366706,199,0
1241367612,2555,1
1241368462,113,0
1241368622,2557,1
1241369278,2567,1
1241369987,2568,1
1241370506,2571,1
1241371850,2572,1
1241372477,2573,1
1241373284,2587,1
1241373464,74,0
1241373883,75,0
1241374471,2597,1
1241375128,2599,1
1241375731,77,0
1241376570,2605,1
1241377020,417,0
1241377034,2609,1
1241382075,18,1
1241383182,423,0
1241383513,29,1
1241384498,35,1
1241384355,426,0
1241384926,36,1
1241386052,41,1
1241386394,44,1
1241386901,49,1
1241387994,51,1
1241389477,52,1
1241390245,63,1
1241391513,65,1
1241391722,97,0
1241392110,66,1
1241392502,440,0
1241392685,757,0
1241394075,71,1
1241394458,73,1
1241395293,76,1
1241395602,104,0
1241396447,81,1
1241397668,100,1
1241397885,107,0
1241398235,116,1
1241398442,7703,0
1241398733,118,1
1241399318,121,1
1241400141,123,1
1241400826,32,0
1241401351,243,0
1241401840,130,1
1241401699,773,0
1241402202,774,0
1241402644,119,0
1241403316,132,1
1241403715,136,1
1241405251,145,1
1241406831,153,1
1241407275,124,0
1241408191,158,1
1241409730,172,1
1241410976,177,1
1241411968,178,1
1241412373,257,0
1241413003,194,1
1241413862,202,1
1241413834,131,0
1241414237,208,1
1241415548,210,1
1241416164,134,0
1241416128,264,0
1241416684,211,1
1241417517,219,1
1241417423,267,0
1241418063,222,1
1241419600,246,1
1241420259,256,1
1241420819,257,1
1241422354,261,1
1241422784,262,1
1241423395,266,1
1241424272,275,1
1241425465,279,1
1241426651,282,1
1241427684,288,1
1241428086,292,1
1241428522,293,1
1241429811,294,1
1241430870,297,1
1241432209,305,1
1241433381,322,1
1241434763,324,1
1241435133,498,0
1241435894,328,1
1241437080,330,1
1241438423,342,1
1241438384,818,0
1241439049,346,1
1241439104,820,0
1241439651,212,0
1241439913,364,1
1241439868,823,0
1241441177,367,1
1241441701,380,1
1241441699,27,0
1241442989,383,1
1241443566,398,1
1241443633,510,0
1241444280,406,1
1241444134,53,0
1241445280,301,0
1241445669,408,1
1241446222,421,1
1241447034,426,1
1241447655,429,1
1241448292,430,1
1241449345,433,1
1241449435,61,0
1241449810,62,0
1241450291,435,1
1241450642,438,1
1241451157,445,1
1241452678,452,1
1241452755,845,0
1241452826,68,0
1241452927,48,0
1241453117,453,1
1241454289,458,1
1241454872,459,1
1241455476,466,1
1241455371,53,0
1241456263,470,1
1241457378,478,1
1241458588,489,1
1241460100,491,1
1241460512,498,1
1241461777,499,1
1241463224,506,1
1241463301,61,0
1241463987,510,1
1241465211,512,1
1241466431,518,1
1241467873,522,1
1241468131,7792,0
1241468227,866,0
1241468684,527,1
1241470016,540,1
1241470272,337,0
1241470452,261,0
1241471401,566,1
1241472005,263,0
1241472645,567,1
1241473372,570,1
1241473917,573,1
1241475275,574,1
1241475937,578,1
1241476565,581,1
1241477230,587,1
1241477685,588,1
1241478284,597,1
1241478327,9,0
1241479169,85,0
1241479483,600,1
1241480068,602,1
1241480737,607,1
1241481505,612,1
1241482413,616,1
1241483799,622,1
1241483995,113,0
1241484065,7,0
1241484462,623,1
1241484327,116,0
1241484393,10,0
1241485708,629,1
1241486865,641,1
1241487487,666,1
1241488698,678,1
1241488652,900,0
1241489265,687,1
1241490089,688,1
1241490898,689,1
1241491450,695,1
1241492431,706,1
1241492904,713,1
1241492750,42,0
1241493939,130,0
1241494184,715,1
1241495299,375,0
1241495724,720,1
1241496386,731,1
1241497150,735,1
1241498644,744,1
1241498648,137,0
1241499054,748,1
1241499203,139,0
1241499416,44,0
1241499707,45,0
1241500172,751,1
1241500338,7848,0
1241500478,57,0
1241501638,752,1
1241502318,754,1
1241503259,761,1
1241503724,7853,0
1241503854,149,0
1241504740,768,1
1241505738,787,1
1241506922,805,1
1241507532,809,1
1241507889,58,0
1241508702,827,1
1241508946,69,0
1241509057,326,0
1241509740,833,1
1241511241,834,1
1241511732,841,1
1241511882,140,0
1241512290,849,1
1241513021,850,1
1241513463,852,1
1241514988,862,1
1241515347,70,0
1241515592,868,1
1241516004,869,1
1241517350,870,1
1241518169,872,1
1241519126,84,0
1241519145,407,0
1241519646,876,1
1241520694,889,1
1241521191,892,1
1241522308,918,1
1241523283,80,0
1241523500,930,1
1241524810,940,1
1241525417,960,1
1241526750,975,1
1241526622,160,0
1241527345,5791,0
1241527457,979,1
1241527715,184,0
1241527761,354,0
1241528749,997,1
1241529568,1001,1
1241530169,1010,1
1241530739,1012,1
1241530893,426,0
1241531320,1025,1
1241531809,1028,1
1241532418,1031,1
1241532850,1039,1
1241533945,1040,1
1241534709,1041,1
1241535397,1045,1
1241535882,1053,1
1241537155,1054,1
1241537630,1057,1
1241538373,1061,1
1241539495,1067,1
1241540798,1069,1
1241541764,1073,1
1241543170,1078,1
1241544462,1092,1
1241545727,1094,1
1241546707,1095,1
1241546874,209,0
1241547080,210,0
1241547262,9,0
1241547709,1097,1
1241548060,1099,1
1241548802,1105,1
1241549105,451,0
1241549343,1109,1
1241549578,386,0
1241550725,1119,1
1241551076,1122,1
1241550975,18,0
1241551145,200,0
1241551157,458,0
1241551594,21,0
1241552469,1124,1
1241553418,225,0
1241553705,1125,1
1241555180,1139,1
1241555779,1140,1
1241557119,1157,1
1241558209,134,0
1241558526,1158,1
1241559516,7937,0
1241559570,402,0
1241560002,1159,1
1241559859,404,0
1241561022,1160,1
1241561603,1171,1
1241561877,407,0
1241562997,1177,1
1241563946,1182,1
1241564065,24,0
1241564824,1190,1
1241566279,1193,1
1241567046,1205,1
1241568488,1208,1
1241568953,416,0
