height,block hash,is_spent,patoshi,patoshi_confidence_score
151,00000000f04ec51395de63f4c3c76766d012ce73eaabe7eceaf124eb7696f36a,0,1,0.993087
152,00000000ab6990d52120e8db495dffb69c995b9091ad2424a5bfc934e04462c6,0,1,0.993438
153,000000005380cced108a64fb073e689d354d4f95ad16509716651458fb0bab2d,0,1,0.994328
154,00000000d38b91896d52acf14ce8eaceed69b1df2b1f563c3c7cf1d48e4166a9,0,1,0.995127
155,00000000ae55d3bae5deb21b22b5c0a93f71511f2ea1f227820214b2f4174684,0,1,0.995479
156,00000000ec9de24dfd10befc8de851e11b2ce63fea91f469cb015f8c6530c660,0,1,0.995062
157,00000000fa09b085cf298c9aed62a31c826f80876627b02cc12456ce1734c91c,0,1,0.996621
158,0000000032c0451293ab86bc737ee586663bca500c8e27002420a531b37a314e,0,1,0.996609
159,00000000c40996aa1b54f86a0a5b19a5384ba7e4332564bb7d63b18793a578bb,0,1,0.996649
160,000000002819c10868c6cf2347766dbd0c6e6502dec7346edf57458cc058c026,0,1,0.996775
161,000000005f61eb1f2ee65c83b506fb754063ba6bc260b2535e438892e58eda03,0,1,0.995772
162,00000000afe93193ee864e5efd7b09cb9e221f9e5f069509d8d858fd006936ef,0,1,0.994961
163,0000000066fd802a02909e8918fb85943836ce5d99000bdcd8128a06070d140a,0,0,
164,000000000f3e94b228bd4e233396f402bd1f715ab046eab6b44ed9ab89ae7ed7,0,0,
165,000000006f6977de3707ea42c892677d9f841f4c2fc449814f45ed2cec7f618f,0,0,
166,00000000ba8a3b7f0a431e7361828f320dca12003f33f0a873f53c81fd616a59,0,0,
167,0000000019735037752be2927084cf026224254e01e4b1223a37c18bd92561de,0,0,
168,00000000567e95797f93675ac23683ae3787b183bb36859c18d9220f3fa66a69,0,0,
169,000000002a22cfee1f2c846adbd12b3e183d4f97683f85dad08a79780a84bd55,0,0,
170,00000000d1145790a8694403d4063f323d499e655c83426834d4ce2f8dd4a2ee,0,1,0.033288
171,00000000c9ec538cab7f38ef9c67a95742f56ab07b0a37c5be6b02808dbfb4e0,0,1,0.379554
172,00000000e3efabf60693ecc2519c5f761801ccac25c2ac89e32d11dd92686854,0,0,
173,00000000dce9d69decc221c128ef78c2ae3d0b43267891f1f078586b47ac85c5,0,1,0.567332
174,00000000a7d8beee715bbcd62dc818573a8ae9fe398c7d39487e9e776e2852c0,0,0,
175,00000000fd4afcc15f0fdda9b24be4c62068d8cf82fe6277730fd096712d9d08,0,1,0.161674
176,0000000016a9f3ddedb8e850941f6981623c7721302a32ca8548dff1f7bd6e58,0,1,0.431123
177,00000000480c9799dd2b35009ff1833f69690f76c26a9bea7e00cd0042f67db1,0,1,0.561652
178,00000000ca6de0be6c908a7c11f6f1335550824b37408d4a332225a329a65b0d,0,1,0.109358
179,00000000c0ab5a6b27502869414c5b004fbca3ba8f291d2c8b2d8dbd6225e170,0,1,0.571633
180,00000000b5ef0ea215becad97402ce59d1416fe554261405cda943afd2a8c8f2,0,1,0.632505
181,00000000dc55860c8a29c58d45209318fa9e9dc2c1833a7226d86bc465afc6e5,0,1,0.853334
182,0000000054487811fc4ff7a95be738aa5ad9320c394c482b27c0da28b227ad5d,0,1,0.866691
183,00000000f46e513f038baf6f2d9a95b2a28d8a6c985bcf24b9e07f0f63a29888,0,1,0.858971
184,00000000ff862f4e3c760fee9666defe2ac0ff026171953558b14421840a2446,0,1,0.386946
185,00000000e24b8df3f63b67e6f803950a6bbfee804e21072f891b4257319273ef,0,1,0.405226
186,000000008b3ff2aaf3427f2a624cb9978e687d9fbba5000dc2f52bb4cc82d4be,0,0,
187,00000000b2cde2159116889837ecf300bd77d229d49b138c55366b54626e495d,0,1,0.541193
188,000000009a940db389f3a7cbb8405f4ec14342bed36073b60ee63ed7e117f193,0,0,
189,000000008bb30dccc10c56c339c8aaacbe0c71051dc51ee10cc84db945db2978,0,0,
190,000000007d31c3592c3fd6f4571c14870f06150028320dda7c847e1869881535,0,0,
191,00000000520bf3614f3f3f312491bcce9ae820cfcf8393cf1e7aecb0db4932ab,0,1,0.642594
192,000000000a35a6104f17dc5dedb6ef250ef412f4fbf67f5dd77f964aa1c10b36,0,1,0.253101
193,00000000833cccbec543914a96b4994669205444c85d9e4f5268d808910b9696,0,1,0.328003
194,0000000095680bb7be29ad8e6838ccb3eb3af464b813ccf31b4ea717fcc93ee7,0,1,0.348559
195,0000000068b997ae9d5c9c63ecf643bb4cff3c4e4cf765ec2479ecd8b1cfc8fe,0,1,0.487588
196,0000000091206177d68fee7a5a6b4a0747c39061c2eb82f800b447a077bfe310,0,1,0.497689
197,00000000ef271937f59286dc81d6b28196ff099bf266e12a3442c4b82c9db814,0,1,0.556366
198,00000000e85458c1467176b04a65d5efaccfecaaab717b17a587b4069276e143,0,1,0.732387
199,00000000b7691ccc084542565697eca256e56bb7f67e560b48789db27f0468eb,0,1,0.897775
200,000000008f1a7008320c16b8402b7f11e82951f44ca2663caf6860ab2eeef320,0,1,0.929807
201,000000002b50d5963806b024fa09d296a3d8762713536eba9e5bdfa7596f814a,0,1,0.936810
202,0000000009c730652f9bacbf750723245979b5978dd8332fb3581a90c3a5bda8,0,1,0.937784
203,000000001ee5a7a841a87b59245aa36f03b5d7d3d43963d0f2bf76f3d1fc2172,0,1,0.948339
204,000000009e50091c12aa8dc002a193522a5781a1a526ea96c77fb14f75aac9cf,0,0,
205,00000000d7e3261b16abe2fc1811150812ee0d6f6fc3727cadd8821df2d96c45,0,1,0.947953
206,000000007986095d6dce2f41fd76e8008e828282400e46d3b49f39d19e2b7a78,0,0,
207,00000000f5714fa64e1f16186d5afe7100ca4393320cef8298e0f59e64c3b008,0,1,0.986936
208,00000000fe5020fa736e81aa601b61c4c8007c171a92fdc802649970b81f82ff,0,1,0.985235
209,000000000e478132f5d6451cdb061aa1b639b7a375d566a68702984124ae6b03,0,1,0.986102
210,00000000101932342af01908230784689a23deff717dcfe16552d673ff30f16b,0,0,
211,0000000036a2d643bd78d457cab4320877a24303cc567c8ca84f6937802d0bc4,0,1,0.985461
212,000000008664fb07a9bcdc7298e0c70ed577f2915d6eb06a934921cb7fbb2aec,0,1,0.984953
213,00000000fd69a5ef7d33e19d8eeab6e88f9345fdf3faddb650a988deb876e827,0,1,0.976830
214,00000000ce6a645a076668ffee89c52a85834cb8b30dff55c76418230601d42a,0,1,0.970067
215,000000008be0adfe9b6bd5925ead94276b68a15467c4547e0ba532f5994ca574,0,1,0.969210
216,00000000faa2c21da83bb2a3151964f03e381cba49db5a0edf83dc834de8c90c,0,1,0.954724
217,00000000727d3ef6e04b7ebbf19a4d294a58be8f9cf91c4204eb36bfb5f35964,0,1,0.965155
218,000000002f7550e9eb1985a17e3bba31c302f1743d1cf45060445255021d0c6b,0,1,0.984829
219,00000000d2c813c67875fb331f4b4c1cf3cd7e96a53e6dd1f3808d8502535a84,0,1,0.983567
220,00000000b66ac539d2cdfebdd4720cb08603b48edec56cc07273c40b082b1d58,0,1,0.987309
221,0000000066356691a4353dd8bdc2c60da20d68ad34fff93d8839a133b2a6d42a,0,1,0.990771
222,000000004da68466ee873c7095c766baf62df93a16df579350e01e7f78911616,0,1,0.990252
223,00000000b9938ade2272609da8a83179d919aa80774c5f2577168dfb1eb51a8f,0,1,0.991061
224,000000003c29d5cb24584ddb079dd51cf9ecd02a96de0aecf05f8c2bcfa709f2,0,1,0.982029
225,00000000c665269a9d5cf61af5fd43e73840d933179c55a6d681957d3d214f28,0,1,0.992553
226,000000005153e11361b28644ee63887e11f0b4b5a14d8e3da826d215dc1ce364,0,1,0.989789
227,00000000fa8b0d2c835156455cee090212192ab289d5233aaf4c39ada1741f63,0,1,0.990892
228,0000000057fe26eebfbe0d0b7bfca14afee147973eef16350c8e6b9fde49343a,0,1,0.991249
229,00000000dc854870a02ac502cdd732644eea099008b518985da6d76015db2bdf,0,1,0.992562
230,00000000a7494fded2b0cc826dd1c58f1c383714f2de0449a3a3643ead5452c2,0,1,0.993284
231,00000000b6ee1bc8ef48268ca7fbd243cf2d4c4792620ebfc5933cf08c487bdb,0,1,0.994291
232,0000000098e453043107b29a58db813021640b3def7c1e659742ddf56420d6ca,0,1,0.994730
233,0000000016c7dad613635ae08f697c10935476b49dc67fdb6ef08b1143d01a3e,0,1,0.995080
234,00000000c2edc9f0ed8e33627247bbf78b89ee62b23ae48e6201debc28ff208e,0,1,0.994289
235,000000006006272b61243f806117f2b4d4482e1d3e83ee799b00015e551b81d2,1,0,
236,00000000297e095567db935fefecb1d495b3fbcbbe5ce37dee325a98ba357a2b,0,0,
237,000000003ee212a38ae0326c5982e3012754bb6a730f885bd955673982df83ca,0,1,0.993952
238,00000000d153d95cdb1fbdc9bd7f4e9fdbd784af7e0b0536a390d8d5b2c38a8d,0,1,0.987931
239,00000000ea67fe5a0ff9587f7a814c6b13fe902f386b53a62ac5728e8e58a16d,0,1,0.988758
240,00000000bdb3f5b06d2b5a55b85758d1df4a7cf49afe075f94fff5d1bbea4aa8,0,0,
241,000000000a827cddf4a562109923ca8102421e7f3affcfd88c66c87d63959180,0,1,0.984467
242,00000000bd0f11ce95423513cc30ed6990fe8170b9a2edfcc1cbd9b89bbcf0df,0,1,0.999226
243,000000008d6d1be4e26d9ec16b8f719bc2f7befaeff7b3cc208b100ca7abc982,0,1,0.999260
244,0000000047ebf1f452225ac287d79dcc8e4a840c2a097efa407679a213f9e5ba,0,1,0.999374
245,0000000031714f49ff442632ef45b0e7148752e7e0a6c373ef6c857093e7036f,0,1,0.999405
246,00000000ccc62f72d2e8e34c750d9ab72b6f2557d3b249b619d3e7f1860f1a32,0,1,0.999347
247,000000005fae7d3d06fc898ccdc1d9435b917dd2db63ecf0a0bc2b3f4210b831,0,1,0.999218
248,00000000fb5b44edc7a1aa105075564a179d65506e2bd25f55f1629251d0f6b0,0,1,0.994270
249,000000001a483a866ad69445e03a31db4ed5a9ea3f1cfec388fc18092f242155,0,1,0.998838
250,000000004e833644bc7fb021abd3da831c64ec82bae73042cfa63923d47d3303,0,1,0.998937
251,00000000eddf09d9b36274faf45b4b4629a28266ff952a69d554c1ed0b988dff,0,1,0.993009
252,00000000c8fd8e47245760fc2d164013cf60b6b73a5f3ed9ed21c5c1289e65aa,0,1,0.992367
253,00000000d1c33e314501b8e8ad742afe030dd2eb8ac41affa0149ccc702f440b,0,1,0.991361
254,0000000065c3ca6a832e4dd696185c2e6bf1e982b275ce6fb86df555f71a379c,0,1,0.999025
255,00000000d0a75c861fabf9ff7b92022f60e4afeed9331fe5aa073d8e4706fe3c,0,1,0.999097
256,0000000092b1d848c608c64f9f764623432855007593e596258bb40daffa8fe7,0,1,0.999076
257,00000000613da6433c0f6c61d8bcb17c39603dd4a8595142359905b18b84edcd,0,1,0.991039
258,000000001a748e1c97226c59b9ddf79a54e0857116808a1b5610a52aef4ed5b5,0,1,0.992235
259,00000000054c9ef1411c5a90efe18651625620737bd73e61e33ca5046907efd1,0,1,0.999371
260,0000000032501f50fe47fd32d16bc632c04170255d407b7d15652c32d119397f,0,1,0.999230
261,00000000054aad44afc89e1f4e0ee9561568629273df16153e425a2eb9cbbcb9,0,1,0.999208
262,0000000062e646293e5f21e2ef1e2099b048cfb58a81081d4e4035a4e19e47a8,0,1,0.999182
263,00000000803cec62b96ccbb70affe0f05f351ada18d14a16960783aeafe0d8fc,0,1,0.999303
264,00000000641f9b99064bda263144a08761757b566357f49e95f516b0b5a4b778,0,1,0.999267
265,000000001cd3ea335cdf6fbffe7fa954f761d16ff19893f04465916a3f5f5dc3,0,0,
266,0000000054de543828fb973ecf9302291426f1e99189b03c97f618f79eebf4b3,0,0,
267,0000000007e162784d52a035bfebf67d0b73813c09e2e23e6710fa237b301f0f,0,0,
268,00000000f4226696e8eec65149a5d7bedc22200e0b9526b1bf6ba7ee5e66d126,1,0,
269,00000000a167a34dd8823317ccda6036d0a243161464e3e67fc01a543ce62b7f,0,1,0.999093
270,00000000c88cd451d53ba12b50e85e2c1d0381458e22813012bbd571b86f7920,0,1,0.999077
271,0000000035981d26f072cea02a0cb67897b896229b1436e0009cb9c4c20a4ee9,0,1,0.999072
272,00000000d4e581b02a90ab3f2f45723aea64f341908a767c33968219b9900ef1,0,1,0.999275
273,000000009ed94f7234f1c82c7874b938dc2e3e09551eed7ae86c2295d4ac7dd0,0,1,0.999358
