date,timestamp,price,daily_high,block_height,epoch,epoch_height,subsidy,supply,market_cap,eod_utc
11/29/22,2022-11-29 23:50:00,16447.88398785202,16519.80340043531,765233,4,135233,6.25,19220212.5,316131825421.8632,True
11/30/22,2022-11-30 23:50:00,17178.315406927904,17178.315406927904,765373,4,135373,6.25,19221087.5,330185903539.15936,True
12/1/22,2022-12-01 23:50:00,16962.986404228788,17197.49725344472,765526,4,135526,6.25,19222043.75,326063266792.74097,True
12/2/22,2022-12-02 23:50:00,17076.29878343368,17076.29878343368,765651,4,135651,6.25,19222825.0,328254703161.6585,True
12/3/22,2022-12-03 23:50:00,16915.710104628237,17090.787214196265,765781,4,135781,6.25,19223637.5,325181479106.4603,True
12/4/22,2022-12-04 23:50:00,17137.597160609894,17145.400581262154,765920,4,135920,6.25,19224506.25,329461843724.12714,True
12/5/22,2022-12-05 23:50:00,16974.709589802966,17369.763332838727,766066,4,136066,6.25,19225418.75,326345900023.6027,True
12/6/22,2022-12-06 23:50:00,17085.275987679506,17085.275987679506,766201,4,136201,6.25,19226262.5,328486001024.07294,True
12/7/22,2022-12-07 23:50:00,16850.772515619134,17099.962606587636,766374,4,136374,6.25,19227343.75,323995595610.8613,True
12/8/22,2022-12-08 23:50:00,17243.517501740178,17267.91576301951,766541,4,136541,6.25,19228387.5,331565036386.49207,True
12/9/22,2022-12-09 23:50:00,17137.659171909483,17260.48628630621,766694,4,136694,6.25,19229343.75,329545939286.9878,True
12/10/22,2022-12-10 23:50:00,17124.015477820216,17211.59094986696,766847,4,136847,6.25,19230300.0,329299954843.1261,True
12/11/22,2022-12-11 23:50:00,17102.83939520771,17244.1013456267,766992,4,136992,6.25,19231206.25,328908231869.86475,True
12/12/22,2022-12-12 23:50:00,17211.814017390923,17211.814017390923,767138,4,137138,6.25,19232118.75,331019651085.37683,True
12/13/22,2022-12-13 23:50:00,17783.960092986246,17925.836729156174,767301,4,137301,6.25,19233137.5,342041349762.91724,True
12/14/22,2022-12-14 23:50:00,17827.323893486162,18302.02321340028,767451,4,137451,6.25,19234075.0,342892084816.60486,True
12/15/22,2022-12-15 23:50:00,17371.062381647283,17845.399277651803,767588,4,137588,6.25,19234931.25,334131190650.4468,True
12/16/22,2022-12-16 23:50:00,16626.236339648294,17505.5250524957,767718,4,137718,6.25,19235743.75,319818021756.41254,True
12/17/22,2022-12-17 23:50:00,16800.22994630168,16800.22994630168,767856,4,137856,6.25,19236606.25,323179408386.46405,True
12/18/22,2022-12-18 23:50:00,16777.875946924985,16812.876147590363,768001,4,138001,6.25,19237512.5,322764598252.41876,True
