date_iso,timestamp_utc,price,block_height,days_ago,daily_dca_basis,weekly_dca_basis,monthly_dca_basis
2024-09-04,2024-09-04 23:50:00+00:00,57982.5872161001,859909,633,87842.7795070444,87208.4071306903,85439.2991578208
2024-09-05,2024-09-05 23:50:00+00:00,56163.8494779936,860064,632,87914.4166126453,87208.4071306903,85439.2991578208
2024-09-06,2024-09-06 23:50:00+00:00,53914.8198573214,860210,631,87993.2508051722,87665.4903313496,85439.2991578208
2024-09-07,2024-09-07 23:50:00+00:00,54174.6012164995,860369,630,88081.6231119737,87665.4903313496,85439.2991578208
2024-09-08,2024-09-08 23:50:00+00:00,54796.3110707265,860535,629,88169.3557009133,87665.4903313496,85439.2991578208
2024-09-09,2024-09-09 23:50:00+00:00,57106.0488471756,860681,628,88254.9458762421,87665.4903313496,85439.2991578208
2024-09-10,2024-09-10 23:50:00+00:00,57626.3829411293,860816,627,88331.7898916667,87665.4903313496,85439.2991578208
2024-09-11,2024-09-11 23:50:00+00:00,57388.9397831628,860924,626,88407.0398064680,87665.4903313496,85439.2991578208
2024-09-12,2024-09-12 23:50:00+00:00,58121.3182559756,861077,625,88483.5588539171,87665.4903313496,85439.2991578208
2024-09-13,2024-09-13 23:50:00+00:00,60637.8903086522,861200,624,88557.6967204617,88279.5233374158,85439.2991578208
2024-09-14,2024-09-14 23:50:00+00:00,60001.4544149817,861340,623,88623.1946654708,88279.5233374158,85439.2991578208
2024-09-15,2024-09-15 23:50:00+00:00,59207.1911017603,861489,622,88691.2127609113,88279.5233374158,85439.2991578208
2024-09-16,2024-09-16 23:50:00+00:00,58232.1797464585,861615,621,88762.3913963362,88279.5233374158,85439.2991578208
2024-09-17,2024-09-17 23:50:00+00:00,60304.8912841112,861766,620,88837.5141460891,88279.5233374158,85439.2991578208
2024-09-18,2024-09-18 23:50:00+00:00,61321.1441185249,861904,619,88905.4700182113,88279.5233374158,85439.2991578208
2024-09-19,2024-09-19 23:50:00+00:00,62967.5470227986,862026,618,88970.2302456552,88279.5233374158,85439.2991578208
2024-09-20,2024-09-20 23:50:00+00:00,63122.1799985990,862170,617,89029.8172713537,88734.0084985755,85439.2991578208
2024-09-21,2024-09-21 23:50:00+00:00,63486.4422198549,862305,616,89089.1767464896,88734.0084985755,85439.2991578208
2024-09-22,2024-09-22 23:50:00+00:00,63567.3701072749,862442,615,89147.6342238135,88734.0084985755,85439.2991578208
2024-09-23,2024-09-23 23:50:00+00:00,63322.5513906897,862587,614,89206.0993590495,88734.0084985755,85439.2991578208
2024-09-24,2024-09-24 23:50:00+00:00,64338.7124999745,862733,613,89265.6229559805,88734.0084985755,85439.2991578208
2024-09-25,2024-09-25 23:50:00+00:00,63078.0508015470,862873,612,89322.1692213667,88734.0084985755,85439.2991578208
2024-09-26,2024-09-26 23:50:00+00:00,65134.2092380844,863007,611,89383.0342186774,88734.0084985755,85439.2991578208
2024-09-27,2024-09-27 23:50:00+00:00,65767.3370500298,863143,610,89437.6190469281,89145.0380986769,85439.2991578208
2024-09-28,2024-09-28 23:50:00+00:00,65920.3371684084,863272,609,89490.5065237629,89145.0380986769,85439.2991578208
2024-09-29,2024-09-29 23:50:00+00:00,65673.0046394970,863425,608,89543.1654679101,89145.0380986769,85439.2991578208
2024-09-30,2024-09-30 23:50:00+00:00,63245.6748863735,863564,607,89596.8157911734,89145.0380986769,85439.2991578208
2024-10-01,2024-10-01 23:50:00+00:00,60895.0403429122,863722,606,89658.4592841138,89145.0380986769,87587.6863462147
