address,Year,grader,grade,grader link,auction date,auction sale amount,auction link
1332qQJ9R9pMGoFq3QYgHRhgzgBaiT2Hcg,2013,NGC,MS67,https://www.ngccoin.com/certlookup/6833758-051/67/,"Dec 8, 2024",Not Sold,https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2013-ms67-ngc-/a/3120-30188.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
137czggSQyvFPJv1QskUXLPwEKcLWGoGBr,2013,PCGS,MS67,https://www.pcgs.com/cert/49747590,"Dec 8, 2024",Not Sold,https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2013-ms67-pcgs-/a/3120-30189.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115#
136aiDovq9FJY9gFc9yMT1VUnqyRb6vhfa,2013,PCGS,MS66,https://www.pcgs.com/cert/49747403,"Dec 8, 2024",Not Sold,https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2013-ms66-pcgs-/a/3120-30191.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115#
13AwXXjVsna3BwoPgyKuJUSSxdRGtauSJB,2013,NGC,MS67,https://www.ngccoin.com/certlookup/6833758-043/67/,"Dec 12, 2024","$108,000.00",https://coins.ha.com/itm/cryptocurrency/cryptocurrency-casascius-brass-loaded-unredeemed-1-bitcoin-btc-2013-ms67-ngc-/a/232450-62223.s?ic4=ListView-ShortDescription-071515
125kLLC1wKueQfPVTjmSddpB3L8Qq2dBDb,2013,NGC,MS66,https://www.ngccoin.com/certlookup/6835564-019/66/,"Dec 12, 2024",$432.00,https://coins.ha.com/itm/cryptocurrency/casascius-brass-unloaded-redeemed-05-bitcoin-btc-2013-ms66-ngc-/a/232450-62222.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1Au9Aag4jVYqbu3L,2012,NGC,PF68UCAM,https://www.ngccoin.com/certlookup/8209231-004/68/,"Jan 20, 2025","$168,000.00",https://coins.ha.com/itm/casascius-gold-unloaded-unfunded-gold-cas-1000-bitcoin-btc-2012-pr68-ultra-cameo-ngc-/a/3128-36036.s?ic4=ListView-ShortDescription-071515
1AgQSDDn3mm7F7B3DsjKbyFuuQLohmcPca,2013,PCGS,PR66DCAM,https://www.pcgs.com/cert/49748530,"Jan 20, 2025","$117,000.00",https://coins.ha.com/itm/cryptocurrency/cryptocurrency-casascius-silver-proof-loaded-unredeemed-1-bitcoin-btc-2013-pr66-deep-cameo-pcgs-/a/3128-36043.s?lotPosition=3&ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ArchiveSearchResults-012417
1Agw6y5igShJB12yRHA2nnDWmNWrXU66iF,2013,NGC,PF69UCAM,https://www.ngccoin.com/certlookup/8209222-001/69/,"Jan 20, 2025","$114,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-silver-proof-loaded-unredeemed-1-bitcoin-btc-2013-pr69-ultra-cameo-ngc-/a/3128-36042.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
1331BaAyEoRAJGJmgzM2XKpv2Je31HaTrH,2013,PCGS,MS67,https://www.pcgs.com/cert/49747406,"Jan 20, 2025","$111,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2013-ms67-pcgs-/a/3128-36041.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
12583CxfXXqqKRU6mreSR46B3wKwsxRtxT,2013,PCGS,MS66,https://www.pcgs.com/cert/49747486,"Jan 20, 2025","$57,600.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-05-bitcoin-btc-2013-ms66-pcgs-/a/3128-36040.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
