Index,Address,Type,Status,Value,Balance,Create Block,Redeem Block,Create Time,Redeem Time
39423,132tgerqhqVrRVvPjg6UuVFa6JFCYjxc9h,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,226452,935267,1363561655,1770390682
40172,135CLPdwUkQytZSBiEf5cUifncUdFb8g9m,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,226452,935267,1363561655,1770390682
6488,1FLxcdFx2AKuXfzpeK2HgdRUQ6ma6X8e7Q,S1-COIN-1,Redeemed,1.00000000,0.00228000,196505,935183,1346389256,1770338250
15660,1CAhx5TtDDRyVt9jrvVhEpsdDFQuUaJVxG,S2-COIN-1-2011,Redeemed,1.00000000,0E-8,157370,935169,1323802451,1770327653
18376,1CCbsTnzPVTkybZix49dnkh6KuAnfMZeb4,S2-COIN-1-2012,Redeemed,1.00000000,0.30099400,194146,935163,1345104404,1770322152
56312,1AgbB4jsCfamnWFxmLPsZHWV7g1TdXUZMk,S3-COIN-0.5-AG,Redeemed,0.50000000,0E-8,254609,935160,1377668812,1770321602
56343,1AgbeGdAoJsCvyUDDBEj5rsEGhhAexsGN7,S3-COIN-0.5-AG,Redeemed,0.50000000,0E-8,254609,935160,1377668812,1770321602
56359,1AgbgkN3DcxTEaPco81g5Ghe4N3Vo6X6S2,S3-COIN-0.5-AG,Redeemed,0.50000000,2E-8,254609,935160,1377668812,1770321602
56455,1AgbuoJAxNKFsP5RB5hSe1nKGBCF5WVXCB,S3-COIN-0.5-AG,Redeemed,0.50000000,0E-8,254609,935160,1377668812,1770321602
42574,13DCNfpQnk1K9yZcSu1b3zK1hARbzAxacn,S2-COIN-1-2013,Redeemed,1.00000000,0.01498800,236632,935158,1368808775,1770320003
42585,13DDsudyuqcmxyp6nugGgYVRPW8MHzXQHu,S2-COIN-1-2013,Redeemed,1.00000000,0.01997200,236632,935158,1368808775,1770320003
29094,121foXHCdi3N6z4X1Pxhv1jLn4zpP6NKS9,S2-COIN-0.5,Redeemed,0.50000000,0E-8,370434,935149,1439921367,1770313397
14312,1CA4CERWVrmJpsyQfAb74ThZvkbTN4UL3F,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,163682,935063,1327429979,1770259522
15790,1CajjhTDyLD8QCbq4GzdnHdZVdi5bgLvXQ,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,163682,935063,1327429979,1770259522
