snapshot,balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
200000,ge10,P2SH,active,1,1,1000000000,1,1,1000000000,0.00
200000,ge10,P2SH,all,3,5,121743400000,1,1,1000000000,0.00
200000,ge10,P2SH,never_spent,2,4,120743400000,0,0,0,0.00
200000,ge100,All,active,2295,96168,164597574776802,2293,95121,164336274936331,36.53
200000,ge100,All,all,10278,179615,652861175818476,2755,118005,195712851304465,45.33
200000,ge100,All,inactive,404,22027,29831175037368,405,22027,29831175037368,8.77
200000,ge100,All,never_spent,7579,61420,458432426004306,57,857,1545401330766,0.03
200000,ge100,P2PK,active,1,9,65045857199,1,9,65045857199,0.01
200000,ge100,P2PK,all,59,866,1610447187965,59,866,1610447187965,0.35
200000,ge100,P2PK,never_spent,58,857,1545401330766,57,857,1545401330766,0.03
200000,ge100,P2PKH,active,2293,95112,164271229079132,2293,95112,164271229079132,36.53
200000,ge100,P2PKH,all,10216,177698,650868685390040,2698,117139,194102404116500,45.30
200000,ge100,P2PKH,inactive,404,22027,29831175037368,405,22027,29831175037368,8.77
200000,ge100,P2PKH,never_spent,7519,60559,456766281273540,0,0,0,0.00
200000,ge100,P2SH,all,2,4,120743400000,0,0,0,0.00
200000,ge100,P2SH,never_spent,2,4,120743400000,0,0,0,0.00
200000,ge1000,All,active,275,15571,112324483543690,274,14524,112063183703219,5.58
200000,ge1000,All,all,1115,20133,425125744947706,327,15517,133485544540851,5.96
200000,ge1000,All,inactive,52,992,21099043837632,52,992,21099043837632,0.38
200000,ge1000,All,never_spent,788,3570,291702217566384,1,1,323317000000,0.00
200000,ge1000,P2PK,all,1,1,323317000000,1,1,323317000000,0.00
200000,ge1000,P2PK,never_spent,1,1,323317000000,1,1,323317000000,0.00
200000,ge1000,P2PKH,active,274,14524,112063183703219,274,14524,112063183703219,5.58
200000,ge1000,P2PKH,all,1112,19082,424431128107235,326,15516,133162227540851,5.96
200000,ge1000,P2PKH,inactive,52,992,21099043837632,52,992,21099043837632,0.38
200000,ge1000,P2PKH,never_spent,786,3566,291268900566384,0,0,0,0.00
200000,ge1000,P2SH,all,1,3,110000000000,0,0,0,0.00
200000,ge1000,P2SH,never_spent,1,3,110000000000,0,0,0,0.00
250000,all,All,active,480655,2249553,269813539211882,480654,2232018,269551868145105,876.48
250000,all,All,all,1824594,6801911,1149996480131183,596112,2570758,500860796144474,1010.65
250000,all,All,inactive,77130,300276,40267915357481,77130,300276,40267915357481,118.48
250000,all,All,never_spent,1266809,4252082,839915025561820,38328,38464,191041012641888,15.69
250000,all,P2PK,active,2,616,24879447564,2,616,24879447564,0.22
250000,all,P2PK,all,38273,38899,191090960753725,38273,38898,191090960753725,15.84
250000,all,P2PK,inactive,12,12,33169000000,12,12,33169000000,0.00
250000,all,P2PK,never_spent,38259,38271,191032912306161,38259,38270,191032912306161,15.61
250000,all,P2PKH,active,480637,2231379,269523404173937,480638,2231379,269523404173937,876.25
250000,all,P2PKH,all,1775201,6731248,958632234098462,557843,2531830,309766178897145,994.79
250000,all,P2PKH,inactive,77118,300264,40234746357481,77119,300264,40234746357481,118.47
250000,all,P2PKH,never_spent,1217446,4199605,648874083567044,86,187,8028365727,0.08
250000,all,P2SH,active,13,21,3533423604,14,21,3533423604,0.01
250000,all,P2SH,all,11111,14220,11491142219,14,21,3533423604,0.01
250000,all,P2SH,never_spent,11098,14199,7957718615,0,0,0,0.00
250000,ge1,All,active,38915,580630,267986371621438,38914,563095,267724700554661,217.42
250000,ge1,All,all,211585,1260842,1143813679053073,83108,694955,498833819478779,269.15
250000,ge1,All,inactive,5999,93541,40069142484411,5999,93541,40069142484411,36.10
250000,ge1,All,never_spent,166671,586671,835758164947224,38195,38319,191039976439707,15.64
250000,ge1,P2PK,active,2,616,24879447564,2,616,24879447564,0.24
250000,ge1,P2PK,all,38204,38828,191090267254314,38204,38827,191090267254314,15.88
250000,ge1,P2PK,inactive,11,11,33168000000,11,11,33168000000,0.01
250000,ge1,P2PK,never_spent,38191,38201,191032219806750,38191,38200,191032219806750,15.64
250000,ge1,P2PKH,active,38911,562474,267696471607097,38912,562474,267696471607097,217.41
250000,ge1,P2PKH,all,173371,1204460,952450647422716,44928,656123,307740202724465,253.57
250000,ge1,P2PKH,inactive,5988,93530,40035974484411,5989,93530,40035974484411,36.09
250000,ge1,P2PKH,never_spent,128472,548456,644718201331208,27,119,7756632957,0.07
250000,ge1,P2SH,active,1,5,3349500000,2,5,3349500000,0.00
250000,ge1,P2SH,all,9,19,11093309266,2,5,3349500000,0.00
250000,ge1,P2SH,never_spent,8,14,7743809266,0,0,0,0.00
250000,ge10,All,active,12617,310339,259932415133507,12617,292804,259670744066730,112.71
250000,ge10,All,all,91686,602587,1109532622605773,52682,386418,489470955224198,149.62
250000,ge10,All,inactive,1894,55321,38768962438093,1894,55321,38768962438093,21.27
250000,ge10,All,never_spent,77175,236927,810831245034173,38171,38293,191031248719375,15.63
250000,ge10,P2PK,active,1,503,23967824950,1,503,23967824950,0.20
250000,ge10,P2PK,all,38178,38689,191080281021368,38178,38688,191080281021368,15.83
250000,ge10,P2PK,inactive,9,9,32268000000,9,9,32268000000,0.00
250000,ge10,P2PK,never_spent,38168,38177,191024045196418,38168,38176,191024045196418,15.63
250000,ge10,P2PKH,active,12614,292296,259643426741780,12615,292296,259643426741780,112.71
250000,ge10,P2PKH,all,53504,546353,918180594417628,14527,347725,298387324702830,134.05
250000,ge10,P2PKH,inactive,1885,55312,38736694438093,1886,55312,38736694438093,21.27
250000,ge10,P2PKH,never_spent,39005,198745,619800473237755,26,117,7203522957,0.07
250000,ge10,P2SH,active,1,5,3349500000,2,5,3349500000,0.00
250000,ge10,P2SH,all,3,10,10076100000,2,5,3349500000,0.00
250000,ge10,P2SH,never_spent,2,5,6726600000,0,0,0,0.00
250000,ge100,All,active,2795,120626,228960297840899,2794,103091,228698626774122,39.61
250000,ge100,All,all,11358,187608,796208802595811,3208,122365,264230866944611,47.01
250000,ge100,All,inactive,378,19230,34337034270489,378,19230,34337034270489,7.38
250000,ge100,All,never_spent,8185,47752,532911470484423,36,44,1195205900000,0.02
250000,ge100,P2PK,active,1,503,23967824950,1,503,23967824950,0.20
250000,ge100,P2PK,all,37,547,1219173724950,37,547,1219173724950,0.21
250000,ge100,P2PK,never_spent,36,44,1195205900000,36,44,1195205900000,0.02
250000,ge100,P2PKH,active,2793,102588,228674658949172,2794,102588,228674658949172,39.61
250000,ge100,P2PKH,all,11320,169526,794727957804084,3173,121818,263011693219661,47.00
250000,ge100,P2PKH,inactive,378,19230,34337034270489,378,19230,34337034270489,7.38
250000,ge100,P2PKH,never_spent,8149,47708,531716264584423,1,0,0,0.00
250000,ge1000,All,active,362,34750,164285205790726,361,17215,164023534723949,6.61
250000,ge1000,All,all,1509,44217,548691082832849,408,19437,190025319970752,7.46
250000,ge1000,All,inactive,46,2221,25678468246803,46,2221,25678468246803,0.85
250000,ge1000,All,never_spent,1101,7246,358727408795320,1,1,323317000000,0.00
250000,ge1000,P2PK,all,1,1,323317000000,1,1,323317000000,0.00
250000,ge1000,P2PK,never_spent,1,1,323317000000,1,1,323317000000,0.00
250000,ge1000,P2PKH,active,361,17215,164023534723949,361,17215,164023534723949,6.61
250000,ge1000,P2PKH,all,1507,26681,548106094766072,407,19436,189702002970752,7.46
250000,ge1000,P2PKH,inactive,46,2221,25678468246803,46,2221,25678468246803,0.85
250000,ge1000,P2PKH,never_spent,1100,7245,358404091795320,0,0,0,0.00
300000,all,All,active,484412,3238589,248273159069455,484430,3207742,248011583624766,1250.38
300000,all,All,all,2909714,10851423,1274996479244827,923808,4303344,489025356453691,1688.95
300000,all,All,inactive,392720,1045674,56053123870231,392721,1045674,56053123870231,418.17
300000,all,All,never_spent,2032582,6567160,970670196305141,46657,49928,184960648958694,20.41
300000,all,P2PK,active,111,937,32148336494,139,937,32148336494,0.35
300000,all,P2PK,all,40599,41767,184864576994601,40650,41766,184864576994601,16.99
300000,all,P2PK,inactive,11,11,28165000000,11,11,28165000000,0.00
300000,all,P2PK,never_spent,40477,40819,184804263658107,40500,40818,184804263658107,16.64
300000,all,P2PKH,active,483863,3205779,247540154177199,483875,3205779,247540154177199,1249.59
300000,all,P2PKH,all,2850449,10755601,1088345342602875,877647,4255171,303717941106544,1669.22
300000,all,P2PKH,inactive,392703,1045653,56021528186627,392704,1045653,56021528186627,418.16
300000,all,P2PKH,never_spent,1973883,6504169,784783660239049,1068,3739,156258742718,1.48
300000,all,P2SH,active,401,987,439279507787,413,987,439279507787,0.43
300000,all,P2SH,all,13463,17798,1524856041507,420,997,442710191391,0.44
300000,all,P2SH,inactive,6,10,3430683604,7,10,3430683604,0.00
300000,all,P2SH,never_spent,13056,16801,1082145850116,0,0,0,0.00
300000,ge1,All,active,59926,1348926,245089765523940,59944,1318079,244828190079251,507.57
300000,ge1,All,all,309808,2549279,1263625468037336,107230,1510868,485270046144656,582.85
300000,ge1,All,inactive,10101,153931,55515317505022,10102,153931,55515317505022,59.41
300000,ge1,All,never_spent,239781,1046422,963020385008374,37184,38858,184926538560383,15.86
300000,ge1,P2PK,active,7,669,31389917929,35,669,31389917929,0.42
300000,ge1,P2PK,all,37123,37883,184838463322701,37174,37882,184838463322701,16.23
300000,ge1,P2PK,inactive,10,10,28164000000,10,10,28164000000,0.00
300000,ge1,P2PK,never_spent,37106,37204,184778909404772,37129,37203,184778909404772,15.80
300000,ge1,P2PKH,active,59829,1316930,244360689122823,59841,1316930,244360689122823,507.37
300000,ge1,P2PKH,all,272424,2479573,1077021719483701,70064,1472501,299992122283456,567.51
300000,ge1,P2PKH,inactive,10090,153916,55483804005022,10091,153916,55483804005022,59.41
300000,ge1,P2PKH,never_spent,202505,1008727,777177226355856,132,1655,147629155611,0.73
300000,ge1,P2SH,active,89,480,436111038499,101,480,436111038499,0.21
300000,ge1,P2SH,all,260,976,1503709786245,103,485,439460538499,0.21
300000,ge1,P2SH,inactive,1,5,3349500000,2,5,3349500000,0.00
300000,ge1,P2SH,never_spent,170,491,1064249247746,0,0,0,0.00
300000,ge10,All,active,15839,558024,230881603521692,15845,527177,230620028077003,202.65
300000,ge10,All,all,111423,964634,1207775308978671,55760,638265,468803779808890,246.27
300000,ge10,All,inactive,2973,73031,53323158573126,2974,73031,53323158573126,28.10
300000,ge10,All,never_spent,92611,333579,923570546883853,36941,38057,184860593158761,15.52
300000,ge10,P2PK,active,3,510,30513690015,6,510,30513690015,0.22
