snapshot,balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
60000,all,P2PKH,never_spent,202,478,44055290000000,0,0,0,0.00
60000,ge1,All,active,84,1723,25307473000000,84,1723,25307473000000,0.66
60000,ge1,All,all,45041,46957,299999285000000,44848,46489,255944322000000,18.93
60000,ge1,All,inactive,12,12,32572000000,12,12,32572000000,0.01
60000,ge1,All,never_spent,44945,45222,274659240000000,44752,44754,230604277000000,18.26
60000,ge1,P2PK,active,11,11,39043000000,11,11,39043000000,0.01
60000,ge1,P2PK,all,44775,44777,230670892000000,44774,44776,230670892000000,18.27
60000,ge1,P2PK,inactive,11,11,27572000000,11,11,27572000000,0.00
60000,ge1,P2PK,never_spent,44753,44755,230604277000000,44752,44754,230604277000000,18.26
60000,ge1,P2PKH,active,73,1712,25268430000000,73,1712,25268430000000,0.66
60000,ge1,P2PKH,all,266,2180,69328393000000,74,1713,25273430000000,0.66
60000,ge1,P2PKH,inactive,1,1,5000000000,1,1,5000000000,0.00
60000,ge1,P2PKH,never_spent,192,467,44054963000000,0,0,0,0.00
60000,ge10,All,active,76,1710,25304719000000,76,1710,25304719000000,0.66
60000,ge10,All,all,44987,46894,299980534000000,44821,46457,255934628000000,18.92
60000,ge10,All,inactive,10,10,32328000000,10,10,32328000000,0.00
60000,ge10,All,never_spent,44901,45174,274643487000000,44735,44737,230597581000000,18.25
60000,ge10,P2PK,active,9,9,37969000000,9,9,37969000000,0.00
60000,ge10,P2PK,all,44754,44756,230662878000000,44753,44755,230662878000000,18.26
60000,ge10,P2PK,inactive,9,9,27328000000,9,9,27328000000,0.00
60000,ge10,P2PK,never_spent,44736,44738,230597581000000,44735,44737,230597581000000,18.25
60000,ge10,P2PKH,active,67,1701,25266750000000,67,1701,25266750000000,0.65
60000,ge10,P2PKH,all,233,2138,69317656000000,68,1702,25271750000000,0.66
60000,ge10,P2PKH,inactive,1,1,5000000000,1,1,5000000000,0.00
60000,ge10,P2PKH,never_spent,165,436,44045906000000,0,0,0,0.00
60000,ge100,All,active,59,1678,25229010000000,59,1678,25229010000000,0.65
60000,ge100,All,all,223,2113,76311667000000,105,1725,32440617000000,0.66
60000,ge100,All,never_spent,164,435,51082657000000,46,47,7211607000000,0.02
60000,ge100,P2PK,all,46,47,7211607000000,46,47,7211607000000,0.02
60000,ge100,P2PK,never_spent,46,47,7211607000000,46,47,7211607000000,0.02
60000,ge100,P2PKH,active,59,1678,25229010000000,59,1678,25229010000000,0.65
60000,ge100,P2PKH,all,177,2066,69100060000000,59,1678,25229010000000,0.65
60000,ge100,P2PKH,never_spent,118,388,43871050000000,0,0,0,0.00
60000,ge1000,All,active,39,1626,24337142000000,39,1626,24337142000000,0.62
60000,ge1000,All,all,81,1911,71347528000000,47,1634,30472189000000,0.63
60000,ge1000,All,never_spent,42,285,47010386000000,8,8,6135047000000,0.00
60000,ge1000,P2PK,all,8,8,6135047000000,8,8,6135047000000,0.00
60000,ge1000,P2PK,never_spent,8,8,6135047000000,8,8,6135047000000,0.00
60000,ge1000,P2PKH,active,39,1626,24337142000000,39,1626,24337142000000,0.62
60000,ge1000,P2PKH,all,73,1903,65212481000000,39,1626,24337142000000,0.62
60000,ge1000,P2PKH,never_spent,34,277,40875339000000,0,0,0,0.00
70000,all,All,active,286,4887,41750284000000,286,4887,41750284000000,1.88
70000,all,All,all,52898,58489,350000000000000,49272,53875,289107842000000,21.87
